Id,Label,timeset,
590DV,Data Visualization,,
590DW,Data Warehousing and BI,,
590ED1,Exhibit Design & Installation,,
590ED2,Exhibit Design & Installation,,
590ELO,E-Learning,,
590ET,Information Ethics,,
590GE,Genealogy and Library Service,,
590GEO,Genealogy and Library Service,,
590GHG,Global Health Informatics,,
590GLO,"Local, Regional, Global IS",,
590IK,Expl Info Know Mgmt Strategies,,
590ISO,Information Service Marketing,,
590MD,Methods for Data Science,,
590OH,Oral History,,
590PBO,Print Culture & Material Book,,
590PC,Presv & Consv Spec Colls Care,,
590PP,Pro Comm Lib & other Info Pro,,
590PR,Progr Analytics & Data Process,,
590PR2,Progr Analytics & Data Process,,
590QM,Qualitative Methods Research,,
590SOS,Self-Organizing Info Systems,,
590SPO,Coll Dev for Spec Coll,,
590TX,Text Mining,,
591AMO,Practicum,,
594JLW,Information Sciences Practice,,
591,Practicum,,
502B,Libraries Info and Society,,
502C,Libraries Info and Society,,
504A,Reference and Info Services,,
504AO,Reference and Info Services,,
504AO2,Reference and Info Services,,
505A,Adm Mgt of Libs Info Centers,,
505AO,Adm Mgt of Libs Info Centers,,
507A, Intr to Bibliographic Metadata,,
507AO, Intr to Bibliographic Metadata,,
507AO2, Intr to Bibliographic Metadata,,
508AO, Collection Development,,
508AO2, Collection Development,,
515A,Media Literacy for Youth,,
515AO,Media Literacy for Youth,,
516A,School Library Media CenterSummary,,
516AO,School Library Media CenterSummary,,
518AO,Community Informatics,,
525AO, Government Information,,
527AO," Literacy, Reading, and Readers",,
528A, Adult Popular Literature,,
530C, REEES Bibliog Research Methods,,
530I, Bio Informatics Probs & Res,,
530MAO, Music Libnship & Bibliography,,
531AO, Foundations of Data Curation,,
532A, Theory & Pract Data Cleaning,,
532AO, Theory & Pract Data Cleaning,,
539A, Information Consulting,,
539AO, Information Consulting,,
540A,Applied Business Research,,
542A," Data, Stat, Info",,
542B," Data, Stat, Info",,
543A, Sociotechnical Info Systems,,
543B, Sociotechnical Info Systems,,
543C, Sociotechnical Info Systems,,
545AO, Social Just Info Professions,,
547AO, Info Srvcs Diverse Populations,,
548A, Library Buildings,,
559A, Network Analysis,,
560AO, Digital Libraries,,
561A, Information Modeling,,
561AO, Information Modeling,,
561B, Information Modeling,,
562AO, Metadata in Theory & Practice,,
567AO, Academic Librarianship,,
568AO, Theological Librarianship,,
580AO, Rare Book and Spec Colls,,
581AO, Adm and Use Archival Materials,,
582AO, Preserving Info Resources,,
583A, Grad Bioinformatics Seminar,,
586A, Digital Preservation,,
586AO, Digital Preservation,,
587A, History and Foundations of LIS,,
590AT, Issues Scholarly Communication,,
590BAO, Business Analytics,,
590BBO," Bookbinding: Hist, Princ, Prac",,
590CA, Community Archives,,
590CRO, Comics: Advising Readers,,
590DHO, Digital Humanities,,
590DI, Big Data Infrastructrs for R&D,,
590DT, Data Mining,,
202AD1,ðSocial Aspects Info Tech,,
202AD2,ðSocial Aspects Info Tech,,
202AD3,ðSocial Aspects Info Tech,,
202AD4,ðSocial Aspects Info Tech,,
202AD5,ðSocial Aspects Info Tech,,
202AD6,ðSocial Aspects Info Tech,,
202AE1,ðSocial Aspects Info Tech,,
390CC,Computers and Cultures,,
390RGI,"Race, Gender & Info Technology",,
390W1A,Web Technologies & Techniques,,
390W1B,Web Technologies & Techniques,,
404AG,Lit and Resources Young Adults,,
404AO,Lit and Resources Young Adults,,
404AU,Lit and Resources Young Adults,,
409AG,Storytelling,,
409AO,Storytelling,,
409AO2,Storytelling,,
409AU,Storytelling,,
418AG,Community Engagement,,
418AO,Community Engagement,,
418AU,Community Engagement,,
445AG,Info Books & Resources Youth,,
445AO,Info Books & Resources Youth,,
445AU,Info Books & Resources Youth,,
451A, Intro to Network Systems,,
451AO, Intro to Network Systems,,
452AG,FOUNDATIONS OF INFO Processing,,
452AO,FOUNDATIONS OF INFO Processing,,
452AU,FOUNDATIONS OF INFO Processing,,
452BG,FOUNDATIONS OF INFO Processing,,
452BU,FOUNDATIONS OF INFO Processing,,
457IDG, Introduction to Data Science,,
457IDU, Introduction to Data Science,,
458AO, Instruc Strat Tech Info Prof,,
461AG, Museum Informatics,,
461AO, Museum Informatics,,
461AU, Museum Informatics,,
462G4, Information Assurance,,
462UG3, Information Assurance,,
483A, Ugrad Bioinformatics Seminar,,
490DB, Introduction to Databases,,
490DBO,Introduction to Databases,,
490GHU, Global Health Informatics,,
490GI,Geographic Information Systems,,
490ITG,Geographic Information Systems,,
490ITU,Entrepreneurial IT Design,,
490SMG, Social Media and Global Change,,
490SMU, Social Media and Global Change,,
490TEO, Intro to Technology in LIS,,
501A, Info Org and Access,,
501AO, Info Org and Access,,
501AO2, Info Org and Access,,
501B, Info Org and Access,,
502A,Libraries Info and Society,,
502AO,Libraries Info and Society,,
502AO2,Libraries Info and Society,,
502AO3,Libraries Info and Society,,
17-18,iSchool Prosem 17-18,,
PR438-442,Student Teaching Seminar,,
501AL1, Information Organization and Access Metacourse,,